# Muon transport coefficients from PROPOSAL in StandardRock (rho = 2.65 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
5.623413251903491211e+11,7.101975506395085125e-01,2.124833168105240977e-01,1.310192092437152678e-01,9.576167172953488071e-01,8.809934486656600949e-01,2.114554384653038799e+00
7.498942093324558105e+11,7.220593313280928571e-01,2.180149841323919258e-01,1.345347638368233345e-01,9.759950220568219814e-01,9.040306774975630510e-01,2.167621268729197137e+00
1.000000000000000000e+12,7.344990189664026836e-01,2.238509027445879096e-01,1.382482907080256063e-01,9.953232665521958289e-01,9.283975948785894161e-01,2.223874842623655201e+00
1.333521432163323975e+12,7.475443495530885718e-01,2.300076083723213149e-01,1.421715711648156577e-01,1.015646210804808991e+00,9.541748244523525768e-01,2.283516340438090708e+00
1.778279410038922852e+12,7.612057683744748449e-01,2.365035861409796880e-01,1.463175493553239559e-01,1.037010286913171653e+00,9.814527945677372633e-01,2.346776076985260584e+00
2.371373705661655273e+12,7.755118551436840368e-01,2.433582062784034883e-01,1.506995675307425675e-01,1.059460597675896398e+00,1.010323867954522115e+00,2.413889558693572912e+00
3.162277660168379395e+12,7.904710656178910444e-01,2.505895107124031518e-01,1.553316527033431760e-01,1.083039337628869170e+00,1.040885373820342297e+00,2.485109124715862094e+00
4.216965034285822266e+12,8.061150287901294176e-01,2.582165398261794809e-01,1.602283978601897474e-01,1.107789384300962077e+00,1.073238823330003422e+00,2.560702954571934420e+00
5.623413251903491211e+12,8.224470818193748700e-01,2.662564934787035598e-01,1.654047314333868535e-01,1.133750106890521581e+00,1.107488446195144860e+00,2.640954542561537277e+00
7.498942093324558594e+12,8.394775823032627482e-01,2.747246485979733532e-01,1.708755980471136915e-01,1.160959078862020544e+00,1.143740636519426479e+00,2.726163761428920917e+00
1.000000000000000000e+13,8.572113004307307937e-01,2.836316135083863932e-01,1.766545055448393298e-01,1.189450226091181229e+00,1.182099319477078136e+00,2.816644026333749107e+00
1.333521432163324023e+13,8.756809859396756934e-01,2.929895988820555019e-01,1.827551937605694510e-01,1.219268053383170569e+00,1.222673889594329655e+00,2.912728429887369686e+00
1.778279410038922656e+13,8.948992553777384007e-01,3.028034357097043605e-01,1.891878777072615314e-01,1.250457001072052821e+00,1.265566531939241290e+00,3.014758586814576535e+00
2.371373705661655078e+13,9.149008948924216567e-01,3.130772478412967574e-01,1.959598919684367446e-01,1.283070822440703251e+00,1.310876076673373136e+00,3.123086463068695195e+00
3.162277660168379297e+13,9.357654312419044773e-01,3.238154514294622754e-01,2.030753231073658405e-01,1.317175827280899325e+00,1.358695987108801795e+00,3.238067698015391294e+00
4.216965034285822656e+13,9.575028210339742163e-01,3.350234469937797277e-01,2.105358738541699415e-01,1.352855798956530409e+00,1.409115354593666769e+00,3.360056413008183807e+00
5.623413251903490625e+13,9.802285755661152011e-01,3.467118016696217331e-01,2.183426704396974616e-01,1.390217477751531927e+00,1.462221724144940227e+00,3.489399881175033524e+00
7.498942093324557812e+13,1.004056566762917546e+00,3.589015347740367456e-01,2.264987914332509122e-01,1.429394538436778328e+00,1.518104986029908954e+00,3.626431008752679652e+00
1.000000000000000000e+14,1.029121294929414621e+00,3.716260122330060645e-01,2.350123814186108884e-01,1.470553049211392960e+00,1.576866372210944611e+00,3.771473002672168118e+00
1.333521432163324062e+14,1.055590458400165632e+00,3.849331127664422092e-01,2.438995366375139862e-01,1.513892966337870183e+00,1.638627088487076833e+00,3.924842807356067720e+00
1.778279410038922812e+14,1.083649688865834237e+00,3.988915963952552879e-01,2.531875630867017057e-01,1.559654995857774562e+00,1.703542788946748932e+00,4.086869191726798078e+00
2.371373705661655312e+14,1.113505323938335456e+00,4.135797280566376743e-01,2.629158544324806113e-01,1.608115086786815473e+00,1.771811425026461828e+00,4.257911408720629787e+00
3.162277660168379375e+14,1.145386567887327844e+00,4.291019179439616860e-01,2.731374298752434204e-01,1.659588514103523593e+00,1.843686244428746734e+00,4.438387670697843568e+00
4.216965034285822500e+14,1.179537152589396287e+00,4.455752521945157141e-01,2.839185963412694802e-01,1.714423937721643698e+00,1.919483604070625349e+00,4.628807472097782316e+00
5.623413251903490625e+14,1.216202541492662714e+00,4.631258472249495939e-01,2.953380350725394177e-01,1.773002459300093259e+00,1.999587518526028340e+00,4.829795701973170097e+00
7.498942093324558750e+14,1.255644826976578976e+00,4.818932447633518246e-01,3.074849760303177693e-01,1.835730100953051558e+00,2.084451316994737180e+00,5.042121672900272245e+00
1.000000000000000000e+15,1.298126895735167485e+00,5.020241306381574287e-01,3.204577170093456662e-01,1.903036473560430597e+00,2.174599342441934979e+00,5.266724791916166382e+00
1.333521432163324000e+15,1.343908027845901909e+00,5.236680779087030668e-01,3.343605856442521951e-01,1.975368458784269032e+00,2.270619011945203436e+00,5.504721873219982520e+00
1.778279410038922750e+15,1.393278794447599056e+00,5.470004243825365986e-01,3.493028581028149171e-01,2.053187324803815272e+00,2.373159136721281648e+00,5.757420520084810533e+00
2.371373705661655500e+15,1.446507711904848614e+00,5.721800995726102901e-01,3.653964973315246278e-01,2.136967197260741358e+00,2.482921826393636344e+00,6.026319834675321729e+00
3.162277660168379500e+15,1.503843160375638144e+00,5.993540776433160522e-01,3.827553001906853769e-01,2.227194660579084662e+00,2.600656180157314701e+00,6.313103458096242626e+00
4.216965034285822500e+15,1.565576156016850407e+00,6.286789761545709121e-01,4.014933121299015806e-01,2.324364008227051137e+00,2.727148434997725079e+00,6.619624615109978905e+00
5.623413251903491000e+15,1.632000845752007434e+00,6.603205624148242858e-01,4.217262353249662254e-01,2.428985627296184280e+00,2.863224997865863930e+00,6.947909102273584381e+00
7.498942093324558000e+15,1.703400860382275894e+00,6.944442232790125624e-01,4.435699137958212801e-01,2.541581101773815465e+00,3.009739703275770673e+00,7.300125067907251797e+00
1.000000000000000000e+16,1.780081803240924243e+00,7.312175837150605151e-01,4.671426823076248458e-01,2.662694209083886765e+00,3.167581068901048624e+00,7.678586527589287059e+00
